Episode,Score,Pipes_Surpassed,Epsilon,Mean_Score_Last_100
405,-335.2912937837453,0,0.06521042084168338,-377.0499632914117
406,-263.4741396473512,0,0.06462925851703408,-378.5344557377219
407,-696.878277921823,0,0.0640480961923848,-379.52138372984365
408,-503.7529128382739,0,0.0634669338677355,-378.4678713699444
409,-423.2485781885434,0,0.0628857715430862,-380.1654060070105
410,-383.64444168203,0,0.06230460921843689,-382.1754421632042
411,-355.13903977065536,0,0.06172344689378759,-383.82127696906923
412,-399.94671249221193,0,0.06114228456913828,-381.45748536707475
413,-652.2512038423375,0,0.06056112224448901,-382.7362620532203
414,-193.3807675297981,0,0.059979959919839704,-380.87137662420776
415,-553.0667899457573,0,0.0593987975951904,-381.37027898245356
416,-347.49776078907695,0,0.058817635270541097,-378.3235738654434
417,-357.63525520748817,0,0.05823647294589179,-378.6054176630762
418,-243.1293873654095,0,0.05765531062124252,-374.89459121112156
419,-378.3716495337977,0,0.05707414829659321,-376.5882203217636
420,-646.0870067847449,0,0.05649298597194391,-378.69592490386844
421,-557.4265529800008,0,0.055911823647294606,-378.37889942575254
422,-434.44243681064705,0,0.0553306613226453,-381.10971298208403
423,-203.77009113479045,0,0.054749498997996,-380.98492248341967
424,-665.7259863907029,0,0.05416833667334672,-383.2509896699575
425,-546.3675116311547,0,0.05358717434869742,-386.0906306251061
426,-253.0021916824498,0,0.053006012024048116,-386.50312482398846
427,-347.1712137064356,0,0.05242484969939881,-383.90232706530514
428,-456.4878819619288,0,0.05184368737474951,-381.4801874900633
429,-368.38375929999575,0,0.05126252505010023,-383.46406485961774
430,-556.1971098783606,0,0.05068136272545093,-382.6207351927948
431,-665.0550677542554,0,0.050100200400801626,-386.5252431689547
432,-411.23729965579025,0,0.04951903807615232,-385.5498445802556
433,-268.9559428247767,0,0.048937875751503046,-384.7968878649171
434,-228.43389487860048,0,0.048356713426853715,-386.0012393816137
435,-415.33478824038843,0,0.04777555110220444,-388.88540320664447
436,-667.6815802381436,0,0.04719438877755511,-389.9007392621226
437,-657.3130975591763,0,0.04661322645290583,-392.6948129073296
438,-642.0125018436081,0,0.046032064128256556,-394.29134682469436
439,-132.0341333047021,0,0.045450901803607224,-390.78681061725075
440,-627.5021675343421,0,0.04486973947895795,-391.5014519915024
441,-673.3118108947625,0,0.04428857715430862,-391.87963482386
442,-503.8094530512037,0,0.04370741482965934,-394.9329184769189
443,-597.4241443743238,0,0.043126252505010065,-398.81096516251387
444,-475.44895818348516,0,0.042545090180360734,-402.48830591340726
445,-342.0791744944969,0,0.04196392785571146,-402.7203267104757
446,-415.6822008131897,0,0.04138276553106213,-405.05246829034064
447,-136.68499347358784,0,0.04080160320641285,-403.0533646813094
448,-501.24366516676247,0,0.040220440881763575,-404.32559064805946
449,-165.25638469098794,0,0.039639278557114244,-401.01853628379365
450,-107.16005304174428,0,0.03905811623246497,-397.75866231864484
451,-491.4405829316043,0,0.038476953907815636,-397.8268404395334
452,-686.5715248247557,0,0.03789579158316636,-401.45956139988454
453,-571.146116293945,0,0.03731462925851703,-402.2926991428446
454,-345.3304150843851,0,0.03673346693386775,-400.8973033840809
455,-545.9671098919846,0,0.03615230460921848,-400.36675301393814
456,-502.95081886651474,0,0.035571142284569146,-399.2763775753531
457,-102.02986151813377,0,0.03498997995991987,-398.76730701150797
458,-272.170166897641,0,0.03440881763527054,-398.36177516795533
459,-61.8957461639684,0,0.03382765531062126,-396.1028233011041
460,-266.5902642452122,0,0.03324649298597199,-395.13950184746193
461,-358.23982929481303,0,0.032665330661322656,-395.14260395691684
462,-347.85689667148426,0,0.03208416833667338,-395.4761116503902
463,-404.8425751501686,0,0.03150300601202405,-396.11500077652966
464,-583.2186332144347,0,0.030921843687374773,-400.8266093238771
465,-193.93191431018323,0,0.030340681362725497,-399.97628959961037
466,-611.6773957169886,0,0.029759519038076165,-401.5063449445312
467,-414.170637455941,0,0.02917835671342689,-399.097296189801
468,-428.9734638253808,0,0.028597194388777558,-401.6413093530706
469,-441.32394583141803,0,0.028016032064128282,-402.37345810890525
470,-264.4334908321372,0,0.027434869739479006,-403.5309484185259
471,-264.72248255132695,0,0.026853707414829675,-401.4072916452935
472,-176.1766289512134,0,0.0262725450901804,-399.58823253294867
